frame,angular_velocity,gs_error,rs_error,feature_count
0,0.12915813760801406,1.0194543694979585,0.5781334276105292,132
1,0.08002564449182736,1.032904677675241,0.5439906035037981,144
2,0.10011003568983184,0.9869600974800603,0.7191077177381995,122
3,0.12184600612383954,0.9890953031310719,0.7286070244934019,139
4,0.11032431870249275,1.1815234653584266,0.6995096491263728,107
5,0.12529351130303468,1.285303548204552,0.5436793619846604,109
6,0.24330456286062907,1.1767122153846936,0.6212762809675637,108
7,0.39539229066781045,1.5247412680329657,0.7910786247003432,131
8,0.2250203971402824,1.1386383837963612,0.7268200839858348,124
9,0.09701134348285256,1.0804565904195913,0.5777728366386058,114
10,0.1387305720996485,1.1969599938916602,0.7100456853017696,137
11,0.20287225237070755,1.1085381148841862,0.7395359921174622,116
12,0.2316782655992178,1.1641433749613268,0.5755032355391403,133
13,0.26924444249920015,1.3406372936316127,0.7627923757185101,113
14,0.1255511382270311,1.2194973616374216,0.7229436617806093,112
15,0.0703166208989913,1.134393388379737,0.5514294589259474,141
16,0.04030784374921831,1.081845432616015,0.5914319527341405,142
17,0.08030162290807304,0.9485957449089847,0.7055296958567969,138
18,0.019123949148088543,1.0668054305580703,0.5871458761506765,142
19,0.16842675563341464,1.092172604153247,0.5721039544243994,131
20,0.10426356842931774,1.0443958409252267,0.6340378595912953,136
21,0.14076017384726938,1.294074831083404,0.5761635990291808,124
22,0.09738105148764976,1.1261100293799122,0.661331014665045,114
23,0.1204203656637164,1.2151337223236995,0.6324762073553649,116
24,0.1308844998107539,1.2366526774505058,0.5711623225994762,139
25,0.14775398018561015,1.1328126109034151,0.7097497780400581,137
26,0.1163753725152515,1.1476709689291273,0.6150151508170755,101
27,0.07513484627504737,1.0033120106235085,0.5944642820075142,141
28,0.061203673106172994,1.0721827069248846,0.634736834353727,110
29,0.05990213475159028,0.966839896463323,0.6244952986286021,142
30,0.11184457457376104,0.9837428140090791,0.5824120149502533,115
31,0.07752293907461205,1.0558107757994182,0.6326196746911337,110
32,0.07588176972555045,1.0824444807602007,0.7204635055270402,137
33,0.09826363964620034,1.081858960445863,0.7083120997063601,137
34,0.09136208047068192,1.0150277398466478,0.6009804014849546,104
35,0.06174691282603291,1.1073847735359243,0.6780150406446849,133
36,0.06786155457065034,1.112574192207538,0.5792879097305701,110
37,0.08178930228858579,1.1454042903469412,0.6549994371709508,137
38,0.07334060879406969,1.1066204102614172,0.5480275732632209,103
39,0.062407433600988445,1.0621414238389828,0.7064968882834215,100
40,0.07777533591458805,1.0192753085593822,0.5520618488212514,105
41,0.13377698462725504,1.0196901351440075,0.6475671774194266,145
42,0.15193059497918787,1.2618405946172193,0.6323650671656313,123
43,0.11200513696658346,1.0429161527155002,0.54885422663685,118
44,0.04198009572529773,0.8849153340176341,0.6053308451238393,142
45,0.05546339224800411,0.9091502885673187,0.5298775430650262,137
46,0.06592994474793597,1.1912136427078415,0.6026891396743808,147
47,0.044246354107810214,0.9378813719820278,0.6745043749823431,117
48,0.0073519998458239436,0.9856831511359234,0.5849204437037472,142
49,0.05176723411128003,1.1540577115184827,0.583767474920884,144
50,0.07110464872123634,1.2057963773787295,0.524090183678871,100
51,0.07224622904459042,0.9698744705200107,0.6149844155883772,140
52,0.05395013345805642,1.064021513663647,0.6979416318342919,138
53,0.05947514802272105,1.1027503196903317,0.5703693998755663,143
54,0.0515034980780215,0.9991210918435948,0.5648101802827815,133
55,0.08007882751345766,1.141593460996749,0.6231447420040372,123
56,0.1070867480486443,1.1680153759792165,0.5367769033208434,126
57,0.07947264622887429,1.1976208345776864,0.6675246551967873,134
58,0.07367019665103702,1.0773143770078055,0.6325991058703111,131
59,0.21217920866892245,1.3572397602690087,0.6823610379913018,128
60,0.30446156301007815,1.2929746931479298,0.7060235274967734,138
61,0.2320588285044583,1.221943833577,0.6331430391763374,104
62,0.09032559820790291,1.0709315125462293,0.6017253650092459,101
63,0.08839123548844285,1.1406129762795394,0.5546057495527829,136
64,0.18619146461968317,1.2833765523982748,0.6117900565734049,145
65,0.22625835271133493,1.2597702194966898,0.7554446444852755,147
66,0.1078036938714111,1.0706716052602416,0.6403367136301733,112
67,0.045245440082800445,0.9323304403976381,0.7011651847592152,123
68,0.09967856405339878,1.0171570062363482,0.6764856004660197,148
69,0.10171155369691263,1.0695442592563065,0.6353230364215738,131
70,0.05688321538301924,1.1694862000276538,0.6784785388336558,114
71,0.05152692865824011,1.0623642455264228,0.5848611547693471,141
72,0.10593489890013234,1.0850253952251987,0.5332331063887896,109
73,0.10038628719661755,1.2281673214199262,0.5738658861589853,106
74,0.04016049838361225,0.9918111821457309,0.5650571827182087,110
75,0.03380021330997323,1.0375686060977725,0.5547445561804919,128
76,0.04686960040915314,1.0754374572543548,0.609574796138371,136
77,0.045088161284303,0.9773124177077046,0.583784016744666,134
78,0.05508784681441783,1.1308953200263143,0.5253093130287003,107
79,0.058337627777203645,0.952902559829868,0.6304346379425361,145
80,0.05086537250360583,0.9158122189116588,0.6162911058917067,124
81,0.04219488281035703,0.9693561669889731,0.5208982109368571,130
82,0.02905468616679687,1.1410277079611328,0.5096746578031641,107
83,0.03287792990542896,0.8574101565768936,0.5683594727216287,119
84,0.0351822527032378,1.0269982325704818,0.6380998418265964,117
85,0.05449500006360988,1.1739788282204149,0.693612904315958,112
86,0.060313009326779396,1.1560365305917317,0.5971649477199088,137
87,0.03246850581300219,0.9718594970007532,0.5097710693220256,100
88,0.0416337098155721,1.1376855500749208,0.6649437262259217,129
89,0.05537659875054698,1.077641924493008,0.594029971812664,134
90,0.05434570529032924,0.9689605745370564,0.5423779303370988,113
