frame,baseline_count,imu_aided_count,baseline_avg_length,imu_aided_avg_length,prediction_error
0,132,171,1,1.4,0.5
1,144,187,1.9027777777777777,2.6638888888888888,0.5160051288983655
2,142,158,2.9014084507042255,4.061971830985915,0.5200220071379664
3,140,180,3.9,5.46,0.5243692012247679
4,138,139,4.898550724637682,6.857971014492754,0.5220648637404985
5,136,141,5.897058823529412,8.255882352941176,0.5250587022606069
6,134,140,6.902985074626866,9.664179104477611,0.5486609125721258
7,132,170,7.909090909090909,11.072727272727272,0.5790784581335621
8,130,161,8.907692307692308,12.47076923076923,0.5450040794280565
9,128,148,9.90625,13.868749999999999,0.5194022686965705
10,137,178,10.10948905109489,14.153284671532845,0.5277461144199297
11,135,150,11.096296296296297,15.534814814814814,0.5405744504741415
12,133,172,12.082706766917294,16.91578947368421,0.5463356531198436
13,131,146,13.068702290076336,18.29618320610687,0.55384888849984
14,129,145,14.054263565891473,19.675968992248063,0.5251102276454063
15,141,183,13.645390070921986,19.103546099290778,0.5140633241797983
16,142,184,14.429577464788732,20.201408450704225,0.5080615687498437
17,140,179,15.392857142857142,21.549999999999997,0.5160603245816147
18,142,184,15.922535211267606,22.291549295774647,0.5038247898296178
19,140,170,16.985714285714284,23.779999999999998,0.5336853511266829
20,138,176,18.014492753623188,25.220289855072462,0.5208527136858635
21,136,161,19.044117647058822,26.66176470588235,0.5281520347694538
22,134,148,20.007462686567163,28.010447761194026,0.51947621029753
23,132,150,21.075757575757574,29.5060606060606,0.5240840731327433
24,139,180,20.66906474820144,28.936690647482013,0.5261768999621508
25,137,178,21.605839416058394,30.24817518248175,0.5295507960371221
26,135,131,22.748148148148147,31.847407407407403,0.5232750745030503
27,141,183,22.638297872340427,31.693617021276594,0.5150269692550095
28,139,143,23.56115107913669,32.985611510791365,0.5122407346212347
29,142,184,23.654929577464788,33.1169014084507,0.5119804269503181
30,140,149,24.635714285714286,34.489999999999995,0.5223689149147522
31,138,143,25.717391304347824,36.00434782608695,0.5155045878149224
32,137,178,26.766423357664234,37.472992700729925,0.5151763539451101
33,137,178,27.284671532846716,38.1985401459854,0.5196527279292401
34,135,135,28.296296296296298,39.614814814814814,0.5182724160941364
35,133,172,29.195488721804512,40.873684210526314,0.5123493825652066
36,131,143,30.229007633587788,42.3206106870229,0.51357231091413
37,137,178,29.715328467153284,41.60145985401459,0.5163578604577171
38,135,133,30.703703703703702,42.98518518518518,0.5146681217588139
39,133,130,31.69924812030075,44.37894736842105,0.5124814867201977
40,131,136,32.7557251908397,45.858015267175574,0.5155550671829177
41,145,188,30.02758620689655,42.03862068965517,0.526755396925451
42,143,159,31.062937062937063,43.48811188811189,0.5303861189958375
43,141,153,32.156028368794324,45.01843971631205,0.5224010273933167
44,142,184,32.7887323943662,45.904225352112675,0.5083960191450595
45,140,178,33.98571428571429,47.58,0.5110926784496008
46,147,191,32.843537414965986,45.98095238095238,0.5131859889495872
47,145,152,33.648275862068964,47.10758620689655,0.5088492708215621
48,143,184,34.99300699300699,48.99020979020979,0.5014703999691648
49,144,187,35.388888888888886,49.54444444444444,0.510353446822256
50,142,130,36.26056338028169,50.76478873239436,0.5142209297442473
51,140,182,37.4,52.35999999999999,0.514449245808918
52,138,179,38.45652173913044,53.83913043478261,0.5107900266916113
53,143,185,37.53846153846154,52.55384615384615,0.5118950296045442
