# timestamp tx ty tz qx qy qz qw
1520530308.199447632 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530308.249448776 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530308.299450636 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530308.349502563 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530308.399504662 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530308.449504614 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530308.499506474 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530308.549507618 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530308.599509478 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1520530308.649555445 -0.017175384 -0.030671738 -0.016442309 -0.000432746 0.001506194 -0.002356571 0.999995995
1520530308.699512482 7.066844681 34.465040384 20.345025498 0.001139966 -0.026146351 0.043805502 0.998697225
1520530308.749558926 9.759143094 -30.160255698 -11.713246131 -0.315910600 -0.396457182 0.813227305 -0.285803336
1520530308.799559832 -7.933211671 29.348125218 6.664747684 -0.140830692 -0.288615252 0.153804085 0.934458269
1520530308.849561930 -4.480726692 -15.431990309 -9.177503481 0.179193633 -0.528735610 0.829610933 0.008602170
1520530308.899563074 0.186741982 -15.300275740 -10.140382945 0.178274779 -0.525598211 0.823004613 -0.120946397
1520530308.949564934 2.142619849 -3.451021646 -1.728290723 0.188216669 -0.479940977 0.842445718 -0.156576999
1520530308.999566793 3.396890131 1.976218683 1.300190938 0.181213290 -0.406357809 0.799145220 -0.404230122
1520530309.049567938 2.017486623 4.507775732 2.649223400 -0.174427398 0.321180972 -0.739954067 0.564699782
1520530309.149567127 1.658216574 4.719442426 2.755193611 -0.171973093 0.305118096 -0.725944860 0.591888726
1520530309.249583244 3.038631696 0.514198701 0.484670387 0.179630846 -0.411598952 0.802534100 -0.392757024
1520530309.299585581 1.180457277 2.654113386 1.551973193 -0.174838035 0.340454360 -0.754841170 0.532669972
1520530309.349586487 0.473319306 0.362217717 0.237922008 -0.161983008 0.304058231 -0.715242927 0.608060566
1520530309.399588585 1.806676753 4.664219251 2.898753106 -0.174035499 0.363767773 -0.765906899 0.500770680
1520530309.449590445 3.164477938 6.264689271 3.518997849 0.192743637 -0.374027587 0.789434875 -0.446929338
1520530309.499591351 3.286758756 6.084904307 3.428139369 0.193033257 -0.378868819 0.792708432 -0.436817949
1520530309.649599075 3.869178332 4.777227426 2.767066186 0.193579171 -0.408235409 0.810328158 -0.373147735
1520530309.699599981 3.158746009 6.299514079 3.538208553 0.192205921 -0.364054945 0.783016214 -0.466268688
1520530309.949607849 3.908248559 4.891827093 2.845826759 0.192822699 -0.399322350 0.805155730 -0.393808732
1520530309.999621868 3.182540975 6.298316266 3.543299124 0.191689541 -0.356405498 0.777872203 -0.480775495
1520530310.149627209 2.702181973 -2.814277315 -1.303105317 0.184589273 -0.491076364 0.837438111 -0.153193393
1520530310.199628115 3.207314820 6.289844893 3.563343617 0.194240339 -0.334127636 0.781355932 -0.490012572
1520530310.249728918 3.203339641 6.292643834 3.563298643 0.194280432 -0.333956699 0.781276456 -0.490239876
1520530310.599631548 -9.157477437 -23.369807629 -13.049728001 0.171484498 -0.528537627 0.831400097 -0.003862879
1520530310.649632692 -8.046845258 11.697047099 13.469962416 0.165692454 -0.129505912 0.547736850 0.809789215
1520530310.699634790 1.477830927 12.144207969 7.799553037 0.103777852 0.077311036 0.307553312 0.942689833
1520530310.749635696 2.164365281 8.086778173 4.579957840 0.091825147 0.119260729 0.244833048 0.957810942
1520530310.799650908 2.127824627 9.445782543 5.541901817 0.094887063 0.107218528 0.263484021 0.953979456
1520530310.899653912 2.162748595 8.083165566 4.575130182 0.091925371 0.118473985 0.246145752 0.957562484
1520530310.999656916 2.112685840 9.424696549 5.541348292 0.095399466 0.105961720 0.265236181 0.953583150
1520530311.049658775 2.158854600 8.096360628 4.590810800 0.092293717 0.117425031 0.247655980 0.957266811
1520530311.199671745 2.107918513 9.427361403 5.497172290 0.093851643 0.106094406 0.266343521 0.953413328
1520530311.299674988 2.157441004 8.086667827 4.562594391 0.091744325 0.117118483 0.248772118 0.957067748
1520530311.349676847 2.085540463 9.518135405 5.510370900 0.092261614 0.105220180 0.269328913 0.952826556
1520530311.399677992 2.152775536 8.024986327 4.527160049 0.091737554 0.115872234 0.250923009 0.956658502
1520530311.599683762 2.074850433 9.466535891 5.537416510 0.094197946 0.102529072 0.272246598 0.952101006
1520530311.699720144 2.150999423 8.084346595 4.569642718 0.092081510 0.114317988 0.253376140 0.956165741
1520530312.249726534 2.072528976 9.460516837 5.579070230 0.095978171 0.100586294 0.274055219 0.951611436
1520530312.349729538 2.150584334 8.078247154 4.579570864 0.092794312 0.112987333 0.255044422 0.955811394
1520530312.399731398 2.056635451 9.428173079 5.564957509 0.096276001 0.099294762 0.276021187 0.951148667
1520530312.449712038 2.134380991 8.555386692 4.917221570 0.093893185 0.108443339 0.262101333 0.954320179
1520530312.499714136 -18.284367212 2.948477392 10.727179038 0.154790662 -0.297226745 0.765662081 0.549051628
1520530312.549715281 2.056654171 9.217111516 5.375095802 0.090493063 0.108532500 0.258830701 0.955530413
1520530312.599717140 2.124630043 8.678666747 4.970281848 0.089015925 0.114285452 0.249943551 0.957362639
1520530312.849719524 1.880930493 11.307646746 6.898468907 0.094693590 0.091270939 0.285319357 0.949365896
1520530312.899721384 2.124244326 8.687645625 4.977699748 0.089349566 0.112862867 0.252145144 0.956922909
1520530313.199730396 2.072870370 10.077525046 5.967414939 0.092335201 0.101735577 0.269139564 0.953251267
1520530313.299737692 2.126936743 8.641215927 4.947012297 0.089608128 0.112055715 0.253331585 0.956680202
1520530313.499743700 2.086575725 10.123133619 5.987805978 0.092438976 0.100716543 0.270811783 0.952875748
1520530313.549745560 2.126956979 8.640596916 4.946155180 0.089839236 0.110927334 0.255107320 0.956318092
1520530313.649744987 2.081032263 10.165065256 6.019207922 0.092776605 0.099161785 0.273212447 0.952320535
1520530313.699746132 2.129429438 8.702978983 4.986926649 0.090060544 0.109846581 0.256813135 0.955965397
1520530313.899752855 2.093126759 10.182317696 6.019461524 0.092683102 0.098777811 0.273948201 0.952158164
1520530313.949754000 2.131610485 8.707996078 4.990891904 0.090194774 0.109214057 0.257782476 0.955764295
1520530314.149764538 2.015736750 11.361497998 6.900492320 0.095900214 0.088785191 0.288469227 0.948528251
1520530314.199765682 2.138257700 8.658302963 4.954710580 0.090441766 0.108192471 0.259324765 0.955439869
1520530314.349770784 2.217642054 10.367667154 6.105996591 0.093213340 0.098338597 0.274184820 0.952083756
1520530314.449773788 2.169235116 8.746952925 4.997911897 0.090470964 0.107868630 0.259876046 0.955323926
1520530314.849784374 2.422103775 9.385081964 5.341594585 0.090790792 0.109658589 0.256444317 0.956016913
1520530314.899810314 28.892265515 13.265214538 24.092941415 0.373030703 0.139307146 -0.091967405 0.912679358
1520530314.949812412 2.315291648 8.843672756 5.027022644 0.091096976 0.139815879 0.256138119 0.952127158
1520530314.999919415 2.330116779 8.856831735 5.040762856 0.091452903 0.139889373 0.255720939 0.952194377
