feature,int_disp,subpix_disp,int_depth,subpix_depth,int_error,subpix_error
0,120,120.01551513671875,0.5,0.49993536195423954,1.65240478515625,0.634991455078125
1,110,109.54971614471853,0.5454545454545454,0.5476965355230876,1.7582855224609375,0.597930908203125
2,101,100.85058088543036,0.594059405940594,0.5949395578411394,1.684967041015625,0.55133056640625
3,93,93.37263161032118,0.6451612903225806,0.6425865798706668,1.91278076171875,0.534539794921875
4,87,86.93630079186481,0.6896551724137931,0.6901604905371657,1.8217620849609375,0.657928466796875
5,81,81.40471150026482,0.7407407407407407,0.7370580755612015,1.9002838134765625,0.5928466796875
6,76,76.43701811383485,0.7894736842105263,0.7849599772540079,1.812744140625,0.549993896484375
7,72,72.09246086601739,0.8333333333333334,0.8322645569209931,1.8581390380859375,0.6958984375
8,68,68.16471918279476,0.8823529411764706,0.8802207464406956,1.72271728515625,0.6416748046875
9,65,64.71401377058415,0.9230769230769231,0.9271562139956939,1.5863800048828125,0.50313720703125
10,62,61.56671776404747,0.967741935483871,0.9745525208920205,1.520599365234375,0.619482421875
11,59,58.65427630361543,1.0169491525423728,1.022943317711715,1.778228759765625,0.60303955078125
12,56,56.06450939713238,1.0714285714285714,1.0701957556605126,1.5912933349609375,0.62918701171875
13,54,53.712927389464916,1.1111111111111112,1.1170495245017722,1.6524658203125,0.694293212890625
14,52,51.53559624012959,1.1538461538461537,1.1642438310101353,1.695037841796875,0.640972900390625
15,49,49.44708491059923,1.2244897959183674,1.2134183462681478,1.8038787841796875,0.609814453125
16,48,47.63903358096168,1.25,1.259471393306732,1.9519805908203125,0.5793701171875
17,46,45.92233192925243,1.3043478260869565,1.3065538590774421,1.8092193603515625,0.503228759765625
18,44,44.26793975267023,1.3636363636363635,1.355382706654669,1.554779052734375,0.61204833984375
19,43,42.76776648536724,1.3953488372093024,1.4029257296035946,1.574920654296875,0.660736083984375
20,41,41.33652470029633,1.4634146341463414,1.451500832133812,1.5428619384765625,0.539385986328125
21,40,40.10661255799868,1.5,1.4960126565970446,1.7745819091796875,0.5977783203125
22,39,38.82257352662318,1.5384615384615385,1.5454925974666278,1.549957275390625,0.590679931640625
23,38,37.65745627314928,1.5789473684210527,1.5933099560625799,1.68853759765625,0.524530029296875
24,37,36.62990320717416,1.6216216216216217,1.6380059663452424,1.895965576171875,0.58685302734375
25,36,35.562095472547746,1.6666666666666667,1.687189666489624,1.5105438232421875,0.69205322265625
26,35,34.54809020644306,1.7142857142857142,1.7367096022231145,1.67449951171875,0.6497314453125
27,34,33.68260138941012,1.7647058823529411,1.7813350966075956,1.9160308837890625,0.53660888671875
28,33,32.80673693047195,1.8181818181818181,1.8288926487007635,1.5261077880859375,0.6982421875
29,32,31.910435800768248,1.875,1.880262631780024,1.5801849365234375,0.6989013671875
30,31,31.18649474304992,1.935483870967742,1.9239097081717182,1.51959228515625,0.548284912109375
31,30,30.432173069710966,2,1.9715976201422758,1.578948974609375,0.681817626953125
32,30,29.696854574373454,2,2.0204159955639303,1.93115234375,0.599664306640625
33,29,28.986895338655817,2.0689655172413794,2.0699008741369513,1.89044189453125,0.500738525390625
34,28,28.39845130866301,2.142857142857143,2.112791269772407,1.646575927734375,0.5259765625
35,28,27.717475652970336,2.142857142857143,2.164699294813672,1.7248992919921875,0.54866943359375
36,27,27.173454567749577,2.2222222222222223,2.2080372537987913,1.856964111328125,0.55635986328125
37,27,26.549035614115056,2.2222222222222223,2.25996909537838,1.8361358642578125,0.619989013671875
38,26,26.068415028205923,2.3076923076923075,2.301635904410768,1.6072845458984375,0.526690673828125
39,26,25.510574382980625,2.3076923076923075,2.351965859303779,1.993804931640625,0.58629150390625
40,25,24.987817382812498,2.4,2.4011701014459197,1.530181884765625,0.55711669921875
41,25,24.5373543666259,2.4,2.4452513952200183,1.61114501953125,0.570361328125
42,24,24.040497315431644,2.5,2.495788635848472,1.689910888671875,0.657733154296875
43,24,23.640073721106425,2.5,2.5380631510649883,1.8152313232421875,0.59537353515625
