frame,angular_velocity,gs_error,rs_error,feature_count
0,0.2812103271484375,1.5007675170898438,0.7830752563476563,118
1,0.22389831542968752,1.3139541625976563,0.7402407836914063,118
2,0.2717315673828125,1.3168289184570314,0.6288156127929687,118
3,0.29699401855468754,1.5377639770507812,0.7885244750976562,118
4,0.20137939453125,1.3424865722656252,0.5804821777343749,118
5,0.29952392578125003,1.3107910156250002,0.683167724609375,118
6,0.27768859863281253,1.4502578735351563,0.6641903686523438,118
7,0.2610321044921875,1.4641830444335937,0.7541580200195313,118
8,0.2679931640625,1.2056976318359376,0.72275634765625,118
9,0.22626342773437502,1.3418273925781252,0.5698321533203126,118
10,0.28525695800781253,1.3497512817382815,0.6349362182617188,118
11,0.24646606445312502,1.4652496337890626,0.6915972900390626,118
12,0.2738250732421875,1.3594192504882814,0.6876895141601563,118
13,0.2364593505859375,1.2957443237304689,0.7091946411132812,118
14,0.202325439453125,1.3132537841796876,0.6717999267578125,118
15,0.202545166015625,1.3822296142578125,0.7044464111328125,118
16,0.26238708496093754,1.2511123657226562,0.6130484008789062,118
17,0.25560302734375,1.349151611328125,0.692147216796875,118
18,0.23319702148437502,1.227734375,0.7292730712890625,118
19,0.2593536376953125,1.4198806762695313,0.6231246948242187,118
20,0.24132080078125,1.336956787109375,0.685225830078125,118
21,0.21361389160156252,1.232078552246094,0.5686495971679687,118
22,0.25986938476562504,1.445098876953125,0.6275335693359375,118
23,0.223779296875,1.3253387451171876,0.617646484375,118
24,0.2885467529296875,1.3380966186523438,0.7281655883789062,118
25,0.2481170654296875,1.212925720214844,0.7107693481445313,118
26,0.2738555908203125,1.3755508422851563,0.6326266479492187,118
27,0.2315216064453125,1.3310470581054688,0.7286727905273438,118
28,0.20435180664062502,1.1246551513671876,0.6946795654296876,118
29,0.2153656005859375,1.2356765747070313,0.6676553344726563,118
30,0.28676757812500003,1.4375091552734376,0.60950439453125,118
31,0.2457916259765625,1.3319168090820313,0.6553598022460938,118
32,0.21245422363281252,1.203807067871094,0.5674288940429688,118
33,0.274359130859375,1.31708984375,0.7232928466796875,118
34,0.29769592285156254,1.4781173706054687,0.7277243041992187,118
35,0.2433013916015625,1.4421096801757813,0.6833297729492187,118
36,0.2632476806640625,1.2137130737304689,0.6917428588867188,118
37,0.25987548828125,1.2868865966796876,0.753096923828125,118
38,0.245574951171875,1.4533935546875,0.6044097900390625,118
39,0.278204345703125,1.4517181396484375,0.7412860107421875,118
40,0.2423126220703125,1.1997512817382814,0.6873788452148437,118
41,0.20995178222656252,1.1784744262695315,0.6701571655273437,118
42,0.2246185302734375,1.2322158813476565,0.5741604614257813,118
43,0.26456604003906253,1.4286331176757814,0.6696652221679688,118
44,0.2373138427734375,1.374607849121094,0.6415310668945312,118
45,0.263525390625,1.403314208984375,0.6071459960937501,118
46,0.2909759521484375,1.4129501342773438,0.5906619262695313,118
47,0.26802978515625003,1.285943603515625,0.7697705078125,118
48,0.26644592285156254,1.3888900756835938,0.6601889038085937,118
49,0.2937835693359375,1.3165176391601563,0.7248049926757814,118
50,0.2387176513671875,1.2670425415039064,0.6796109008789062,118
51,1.98,3.9118884277343744,1.2535336914062498,110
52,1.96,3.8490301513671876,1.130974853515625,110
53,1.94,3.9913873291015625,1.2756218261718748,110
54,1.92,3.9586682128906245,1.1207937011718752,110
55,1.9,3.7176391601562493,1.2165820312499998,110
56,1.88,3.8085894775390625,1.209709228515625,110
57,1.8599999999999999,3.69799560546875,1.1359846191406249,110
58,1.84,3.7172143554687507,1.109354736328125,110
59,1.82,3.648441772460938,1.095700927734375,110
60,1.8,3.72115478515625,1.110819091796875,111
61,1.78,3.5493212890624997,1.155099853515625,111
62,1.76,3.632608642578125,1.167129638671875,111
63,1.74,3.4270196533203126,1.120553466796875,111
64,1.72,3.4242932128906247,1.1769130859375,111
65,1.7,3.6272583007812496,1.017940673828125,111
66,1.68,3.332515258789063,1.188014892578125,111
67,1.66,3.3956793212890624,1.1570087890625,111
68,1.6400000000000001,3.5190576171875,1.13971728515625,111
69,1.62,3.231144409179688,1.1562331542968751,111
70,1.6,3.282461547851563,1.062470703125,112
71,1.58,3.4276568603515623,0.996991943359375,112
72,1.56,3.259375610351562,1.153699462890625,112
73,1.54,3.3703118896484376,1.075800048828125,112
74,1.52,3.106513671875,1.04861474609375,112
75,1.5,3.300946044921875,1.1233154296875,112
